[2025-11-06 08:33:30] [INFO    ] discord.client: logging in using static token
[2025-11-06 08:33:31] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-11-06 08:33:31] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-11-06 08:33:31] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1435386965615841442', 'username': 'Ruriko', 'avatar': '329d90018453498a0585075ec365b35c', 'discriminator': '1500', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-11-06 08:33:31] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-11-06 08:33:31] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-11-06 08:33:31] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1435386965615841442', 'name': 'Ruriko', 'icon': '329d90018453498a0585075ec365b35c', 'description': 'Ang "pusa" ng COS', 'type': None, 'bot': {'id': '1435386965615841442', 'username': 'Ruriko', 'avatar': '329d90018453498a0585075ec365b35c', 'discriminator': '1500', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '48a61fae5226ffe18fdfcf2e61a317f783d29c58b156c935201b678cb50addac', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '607796910312390657', 'username': 'riz_mis', 'avatar': '9f5c0e5dd1c2bfb55cf9e943497f8672', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 0, 'global_name': 'Riz☆mis', 'avatar_decoration_data': {'asset': 'a_fa52e155d794cd25540f364bea476189', 'sku_id': '1432438506130636801', 'expires_at': 1767916800}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#000000', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2276, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-11-06 08:33:31] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-11-06 08:33:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-csh7",{"micros":0.0}]']}}
[2025-11-06 08:33:31] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-06 08:33:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-06 08:33:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Ruriko', 'primary_guild': None, 'mfa_enabled': True, 'id': '1435386965615841442', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '1500', 'clan': None, 'bot': True, 'avatar': '329d90018453498a0585075ec365b35c'}, 'session_type': 'normal', 'session_id': '5e7cb32f080dd67ab0f3b8a02c5fccb5', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1435246012334735385'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['hongkong', 'singapore', 'japan', 'india', 'sydney'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1435386965615841442', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-csh7",{"micros":287414,"calls":["id_created",{"micros":439,"calls":[]},"session_lookup_time",{"micros":1813,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-129",{"micros":283016,"calls":["start_session",{"micros":228126,"calls":["discord-api-rpc-84744f56d7-p4nnk",{"micros":122728,"calls":["get_user",{"micros":38785},"get_guilds",{"micros":2487},"send_scheduled_deletion_message",{"micros":14},"guild_join_requests",{"micros":2165},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":47791},"apex_experiments",{"micros":4457},"user_activities",{"micros":6},"played_application_ids",{"micros":3},"linked_users",{"micros":10}]}]},"starting_guild_connect",{"micros":30,"calls":[]},"presence_started",{"micros":8443,"calls":[]},"guilds_started",{"micros":78,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":46313,"calls":[]},"connect_finished",{"micros":46322,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-11-06 08:33:32] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-06 08:33:32] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 5e7cb32f080dd67ab0f3b8a02c5fccb5).
[2025-11-06 08:33:32] [DEBUG   ] discord.client: Dispatching event connect
